# Horizontal Translation, Vertical Translation, Rotation
0.00000,0.50000,1.00000
3.10291,3.73452,-3.78824
4.97012,2.88416,0.00000
4.43275,3.29367,0.00000
2.56439,3.52826,0.00000
0.99139,3.51042,0.00000
-0.26994,3.02151,0.00000
-0.80793,2.47602,0.00000
-0.94342,2.20818,0.00000
-1.17734,1.92833,0.00000
-1.12558,1.82512,0.00000
-0.93497,1.89048,0.00000
-0.59197,1.82138,0.00000
-0.21910,1.88396,0.00000
0.28593,1.70815,0.00000
0.53943,1.75385,0.00000
0.69248,1.66025,0.00000
0.72010,1.58435,0.00000
0.79333,1.54464,0.00000
0.85658,1.48488,0.00000
0.77245,1.53755,0.00000
1.30987,1.60283,0.00000
1.37374,1.62801,0.00000
1.89202,2.36780,0.00000
1.40862,1.68276,0.00000
0.88782,1.67240,0.00000
0.74365,1.55066,0.00000
0.81118,1.62568,0.00000
0.56199,1.65326,0.00000
0.70321,1.66939,0.00000
0.20551,2.79109,0.00000
-0.77017,1.75004,0.00000
-2.14266,3.25022,0.00000
-2.87765,3.54961,0.00000
-2.07881,3.20266,0.00000
-1.59086,3.57290,0.00000
-0.12207,3.44627,0.00000
1.32089,3.64510,0.00000
0.98648,3.68495,0.00000
-0.32963,2.78470,0.00000
-0.73710,1.78704,0.00000
-0.60408,2.03713,0.00000
-0.27626,2.28705,0.00000
-0.39683,2.11057,0.00000
-0.32464,1.92664,0.00000
-0.76072,2.35543,0.00000
-0.29400,1.64139,0.00000
-0.02564,1.54585,0.00000
-0.08024,1.57502,0.00000
-0.04594,1.58186,0.00000
-0.07374,1.76332,0.00000
-0.07257,1.74883,0.00000
-0.40572,2.40120,0.00000
-1.57503,3.36913,0.00000
-1.46378,2.86236,0.00000
-1.45115,3.21867,0.00000
-1.65922,3.28260,0.00000
-1.28191,3.42051,0.00000
-0.19082,1.83125,0.00000
2.86625,4.86032,-6.91291
0.93129,4.09176,-0.41863
-1.56321,2.61612,0.00000
-1.72989,2.63340,0.00000
-1.63297,2.50633,0.00000
-1.64015,2.52435,0.00000
-1.99704,2.27865,0.00000
-2.02178,2.02802,0.00000
-1.97358,1.85730,0.00000
-0.97375,-0.53803,-0.51867
1.30676,2.08214,-4.31134
0.66819,2.69602,-2.18434
-0.46791,3.06925,0.00000
-1.58231,3.70796,0.00000
-3.20514,6.23907,0.00000
-2.62677,5.93378,0.00000
-1.84828,5.08579,0.00000
-0.77852,4.96752,0.00000
0.09880,4.89239,0.00000
0.26711,5.82392,0.00000
0.65163,6.00817,0.00000
0.50598,4.11304,0.00000
3.54562,14.29941,0.00000
3.65291,-5.74610,0.44086
-1.40848,2.31824,0.20468
0.69341,1.91732,0.00000
0.13239,2.56231,0.00000
-0.78115,1.89818,-0.55893
2.91543,4.59122,-6.43119
0.99535,5.19600,0.00000
-2.20237,3.32609,0.00000
-2.40540,2.78723,0.00000
-2.35432,2.82315,0.00000
-1.65791,2.42962,0.00000
-1.30493,2.15463,0.00000
-0.57441,1.98793,0.00000
-0.36673,2.22752,0.00000
-0.13698,2.31175,0.00000
-0.01055,2.53748,0.00000
-0.01212,2.93380,0.00000
0.00093,2.95263,0.00000
0.41165,2.92195,0.00000
0.39670,2.74228,0.00000
0.53649,2.52445,0.00000
0.55939,2.33568,0.00000
0.43433,2.23571,0.00000
0.27989,2.28840,0.00000
-0.15632,2.51528,0.00000
-0.50946,2.40735,0.00000
-0.92283,2.30245,0.00000
-0.97666,2.21317,0.00000
-0.98734,2.30302,0.00000
-0.71786,2.45620,0.00000
-0.90425,2.29814,0.00000
-0.99750,2.30383,0.00000
-1.06499,2.36360,0.00000
-1.41259,2.43402,0.00000
-1.52617,2.21459,0.00000
