# Horizontal Translation, Vertical Translation, Rotation
0.00000,0.50000,1.00000
-0.33007,-0.02568,0.18815
-0.23054,-0.01683,0.15164
-0.21879,-0.01766,0.15536
-0.21166,-0.01701,0.00000
-0.22246,-0.01855,0.15162
-0.21458,-0.01772,0.15387
-0.20617,-0.01166,0.15276
-0.18472,0.03250,0.24299
-0.15231,0.12003,0.29868
-0.11078,0.24830,0.23057
-0.08281,0.44620,0.00000
-0.04532,0.60209,0.00000
-0.01736,0.77772,0.00000
0.01337,1.48551,0.00000
0.02887,1.29995,0.00000
0.03101,1.19442,0.00000
0.03717,1.46512,0.00000
0.03590,1.51505,0.00000
0.03078,1.54315,0.00000
0.03032,1.70701,0.00000
0.02512,1.76285,0.00000
0.01936,1.69659,0.00000
0.01505,1.78606,0.00000
0.01002,1.92914,0.00000
0.00639,1.71671,0.00000
0.00347,1.90922,0.00000
0.00124,2.79755,0.00000
-0.00224,1.88108,0.00000
-0.00331,1.94896,0.00000
-0.00504,1.89606,0.00000
-0.00593,1.83715,0.00000
-0.00770,2.02327,0.00000
-0.00772,1.90074,0.00000
-0.00813,1.90248,0.00000
-0.00985,1.90147,0.00000
-0.00997,1.90279,0.00000
-0.00961,1.77780,0.00000
-0.01227,2.08305,0.00000
-0.01178,1.89858,0.00000
-0.01100,1.89889,0.00000
-0.01122,1.83801,0.00000
-0.01962,2.90928,0.00000
-0.01247,1.89965,0.00000
-0.01384,1.96175,0.00000
-0.01292,1.89895,0.00000
-0.01308,1.89888,0.00000
-0.01362,1.96052,0.00000
-0.01369,1.89944,0.00000
-0.01319,1.83837,0.00000
-0.01306,1.96016,0.00000
-0.01343,2.02035,0.00000
-0.01217,1.83496,0.00000
-0.01308,1.89571,0.00000
-0.01351,1.89618,0.00000
-0.01211,1.89626,0.00000
-0.01789,2.78149,0.00000
-0.01218,2.01920,0.00000
-0.01166,1.83220,0.00000
-0.01175,1.95612,0.00000
-0.01097,1.89138,0.00000
-0.01066,1.89070,0.00000
-0.01085,1.89059,0.00000
-0.00972,1.89146,0.00000
-0.00906,1.89156,0.00000
-0.00916,1.95561,0.00000
-0.00811,1.83187,0.00000
-0.00850,1.95528,0.00000
-0.00856,1.89297,0.00000
-0.00771,2.01584,0.00000
-0.00733,1.83086,0.00000
-0.01118,2.95803,0.00000
-0.00591,1.89119,0.00000
-0.00726,1.82871,0.00000
-0.00784,1.95402,0.00000
-0.00774,1.89325,0.00000
-0.00769,1.89402,0.00000
-0.00772,1.95718,0.00000
-0.00716,1.89756,0.00000
-0.00815,1.89711,0.00000
-0.00723,1.95992,0.00000
-0.00690,1.83638,0.00000
-0.00556,1.89837,0.00000
-0.00611,1.96125,0.00000
-0.00501,1.83714,0.00000
-0.00721,2.90949,0.00000
-0.00393,1.89783,0.00000
-0.00451,1.83663,0.00000
-0.00375,1.96069,0.00000
-0.00283,1.96098,0.00000
-0.00357,1.96069,0.00000
-0.00191,1.83766,0.00000
-0.00177,1.96103,0.00000
-0.00254,2.02163,0.00000
-0.00118,1.77635,0.00000
-0.00080,1.95837,0.00000
-0.00150,1.83195,0.00000
-0.00005,1.89400,0.00000
0.00021,1.89188,0.00000
0.00034,1.95210,0.00000
0.00103,2.89649,0.00000
0.00073,0.88366,0.00000
0.00200,2.83219,0.00000
0.00130,1.95003,0.00000
0.00199,1.82628,0.00000
0.00104,2.01137,0.00000
0.00249,1.82837,0.00000
0.00164,1.88957,0.00000
0.00216,1.88864,0.00000
0.00288,1.82777,0.00000
0.00262,1.95026,0.00000
0.00371,1.88957,0.00000
0.00507,2.83330,0.00000
0.00376,1.94991,0.00000
0.00430,1.88505,0.00000
0.00376,1.82282,0.00000
0.00484,2.06453,0.00000
0.00372,1.82080,0.00000
0.00484,1.81953,0.00000
0.00394,1.87329,0.00000
0.00576,1.92427,0.00000
0.00445,1.68053,0.00000
0.00432,2.04043,0.00000
0.00584,1.92085,0.00000
0.00482,1.86212,0.00000
0.00527,1.98327,0.00000
0.00452,1.72964,0.00000
0.00947,2.81707,0.00000
0.00611,1.84084,0.00000
0.00663,1.90454,0.00000
0.00555,1.79024,0.00000
0.00597,1.97574,0.00000
0.00458,1.85200,0.00000
0.00478,1.77511,0.00000
