# Horizontal Translation,Vertical Translation,Rotation
0.00000,0.50000,1.00000
-0.77844,-0.05532,0.86964
-0.64775,-0.05012,0.66058
-0.54390,0.14408,0.45215
-0.23596,1.29784,0.00000
0.02492,3.55518,0.00000
0.10214,4.16449,0.00000
0.08265,5.01019,0.00000
0.04555,5.39776,0.00000
0.00944,6.38882,0.00000
-0.00766,5.69735,0.00000
-0.02097,5.73701,0.00000
-0.02690,5.68122,0.00000
-0.03265,5.73036,0.00000
-0.04475,6.61398,0.00000
-0.03589,5.74083,0.00000
-0.03900,5.73438,0.00000
-0.03801,5.79277,0.00000
-0.03809,5.60316,0.00000
-0.04220,6.65469,0.00000
-0.03664,5.66908,0.00000
-0.03373,5.65221,0.00000
-0.02613,5.65152,0.00000
-0.02528,5.83346,0.00000
-0.02376,6.64843,0.00000
-0.02251,5.64715,0.00000
-0.02279,5.72665,0.00000
-0.02006,5.66778,0.00000
-0.01631,5.67769,0.00000
-0.01457,6.61364,0.00000
-0.01110,5.85981,0.00000
-0.00553,5.79821,0.00000
0.00046,5.56315,0.00000
0.00215,5.71760,0.00000
0.00494,6.57694,0.00000
0.00643,5.76439,0.00000
0.00475,5.58610,0.00000
0.00839,5.64782,0.00000
0.01675,6.63488,0.00000
0.01064,5.68564,0.00000
0.01708,5.60778,0.00000
0.01359,5.61455,0.00000
0.01237,5.55675,0.00000
0.02164,6.53044,0.00000
0.01671,5.59227,0.00000
0.01247,5.44871,0.00000
0.00587,5.44890,0.00000
0.00310,5.46715,0.00000
0.00544,6.24487,0.00000
0.00851,5.35239,0.00000
0.01141,5.24508,0.00000
0.01350,5.22084,0.00000
0.02426,5.83628,0.00000
0.02481,5.06307,0.00000
0.02880,4.93172,0.00000
0.03137,4.85098,0.00000
0.03566,4.82238,0.00000
0.04007,5.48984,0.00000
0.03716,4.48639,0.00000
0.03686,4.36000,0.00000
0.03747,4.22114,0.00000
0.03952,4.09977,0.00000
0.04396,4.70069,0.00000
0.03682,3.89056,0.00000
0.03630,3.78232,0.00000
0.02578,3.67341,0.00000
0.00973,3.56614,0.00000
0.00162,3.93184,0.00000
-0.00262,3.27639,0.00000
0.00167,3.20664,0.00000
0.00349,3.13718,0.00000
0.01259,3.56027,0.00000
0.01828,2.91173,0.00000
0.02209,2.81222,0.00000
0.02847,2.71649,0.00000
0.03937,3.11386,0.00000
0.03711,2.52816,0.00000
0.04091,2.48580,0.00000
0.04286,2.36502,0.00000
0.04803,2.33590,0.00000
0.05390,2.56055,0.00000
0.04727,2.18897,0.00000
0.04832,2.12655,0.00000
0.04798,2.01174,0.00000
0.04980,1.99287,0.00000
0.05611,2.15952,0.00000
0.06387,1.76267,0.00000
0.07658,1.70227,0.00000
0.06443,1.61895,0.00000
0.03718,1.56885,0.00000
0.00961,1.71662,0.00000
-0.02057,1.45370,0.00000
-0.04051,1.37232,0.00000
-0.04026,1.32494,0.00000
-0.02873,1.49665,0.00000
-0.02590,1.26114,0.00000
-0.02503,1.23285,0.00000
-0.02325,1.29732,0.00000
-0.01611,1.16646,0.00000
-0.01492,1.39987,0.00000
-0.00775,1.18672,0.00000
-0.00146,1.14458,0.00000
0.00465,1.16136,0.00000
0.01155,1.11814,0.00000
0.01851,1.27798,0.00000
0.01927,1.06391,0.00000
0.02686,1.00750,0.00000
0.01379,0.97192,0.00000
-0.01315,1.03196,0.00000
-0.03619,0.83838,0.00000
-0.06054,0.81152,0.00000
-0.07660,0.76255,0.00000
-0.08952,0.71888,0.00000
-0.11311,0.79823,0.22066
-0.10420,0.65975,0.21282
-0.10393,0.62796,0.21725
-0.10516,0.61598,0.22315
-0.10031,0.58081,0.23119
-0.11237,0.65426,0.22973
-0.09307,0.54919,0.31550
-0.08486,0.52331,0.32286
-0.07980,0.50709,0.31312
-0.08391,0.57352,0.30664
-0.05992,0.48987,0.29383
-0.05229,0.48569,0.16534
-0.07501,0.49536,0.31759
-0.14638,0.46931,0.33708
-0.49250,0.44403,0.83478
-1.16809,0.29357,1.49639
-1.90148,0.26687,2.19675
-2.35178,0.27137,2.70704
-2.51904,0.23134,2.88951
-3.00255,0.26796,3.46684
-2.68512,0.21150,3.08375
-2.72235,0.15856,2.57861
-2.71579,0.07376,2.84041
-3.13851,0.03585,2.72148
-2.38377,-0.08820,3.34392
-2.25846,-0.11782,2.23346
-2.30947,-0.18297,2.18049
-2.48229,-0.17856,3.52926
-2.94514,-0.22318,3.16669
-2.67476,-0.26345,3.80941
-2.67203,-0.29965,3.63247
-2.74050,-0.22050,2.96321
-3.30841,-0.32598,3.52496
-2.24605,-0.20722,2.23091
-3.07635,-0.32334,4.15459
-2.62414,-0.26819,2.86549
-2.70437,-0.26351,2.84041
-2.74955,-0.25403,2.85613
-3.24641,-0.27711,3.14903
-2.79005,-0.25161,2.54001
-2.80477,-0.25502,2.76650
-2.82143,-0.28178,2.57650
-2.81578,-0.29242,2.09056
-3.31684,-0.35134,4.09338
-2.84639,-0.23876,2.48373
-2.77622,-0.17393,2.56082
-2.70169,-0.14295,2.51092
-3.14127,-0.19054,2.79972
-2.66589,-0.10682,2.49855
-2.69466,-0.08965,2.51724
-2.40395,-0.12872,2.21502
-2.22498,-0.10045,1.84246
-2.40847,-0.11030,2.01950
-1.92587,-0.11184,1.59682
-1.74238,-0.09251,1.39761
-1.59239,-0.08618,1.29168
-1.49007,-0.09340,1.27849
-1.58679,-0.09088,1.28985
-1.27143,-0.07191,1.17832
-1.13867,-0.07098,0.95536
-1.03949,-0.07485,0.96822
-1.14707,-0.08276,0.96280
-0.88998,-0.06761,0.87098
-0.85895,-0.06727,0.63799
-0.77900,-0.06344,0.87155
-0.75412,-0.06629,0.87832
-0.82399,-0.07340,0.87779
-0.68331,-0.06409,0.66053
-0.66030,-0.06509,0.66429
-0.59855,0.00794,0.66417
-0.34479,1.15422,0.45540
0.00765,2.71250,0.00000
0.10613,3.94991,0.00000
0.09527,4.75416,0.00000
0.05905,5.27361,0.00000
0.02651,6.42715,0.00000
-0.00080,5.64625,0.00000
-0.01008,5.62593,0.00000
-0.01603,5.63669,0.00000
-0.02068,6.59370,0.00000
-0.02523,5.72880,0.00000
-0.02642,5.73031,0.00000
-0.02579,5.66715,0.00000
-0.02935,5.68335,0.00000
-0.03324,6.72990,0.00000
-0.02468,5.67169,0.00000
-0.01875,5.74712,0.00000
-0.02125,5.67475,0.00000
-0.01752,5.63051,0.00000
-0.01612,6.74701,0.00000
-0.00987,5.74190,0.00000
-0.01298,5.67014,0.00000
-0.00710,5.67933,0.00000
-0.00634,6.68660,0.00000
-0.00218,5.72029,0.00000
-0.00380,5.65694,0.00000
-0.00137,5.66396,0.00000
0.00318,5.73712,0.00000
0.00506,6.59904,0.00000
0.00603,5.67781,0.00000
0.00100,5.71497,0.00000
0.00285,5.65401,0.00000
0.00748,5.69307,0.00000
0.01253,6.73437,0.00000
0.01014,5.64444,0.00000
0.00840,5.71937,0.00000
0.00714,5.66767,0.00000
0.01250,6.63068,0.00000
0.00461,5.70305,0.00000
0.00836,5.65435,0.00000
0.01083,5.62472,0.00000
0.01021,5.60811,0.00000
0.01505,6.70226,0.00000
0.01464,5.54696,0.00000
0.01832,5.60237,0.00000
0.01378,5.66314,0.00000
0.01556,5.65393,0.00000
0.01978,6.58463,0.00000
0.01774,5.54581,0.00000
0.01888,5.65513,0.00000
0.01966,5.66220,0.00000
0.02007,6.52813,0.00000
0.01948,5.66833,0.00000
0.02199,5.65487,0.00000
0.01954,5.59108,0.00000
0.01748,5.59138,0.00000
0.01714,6.53184,0.00000
0.01657,5.68492,0.00000
0.01482,5.57657,0.00000
0.01454,5.58560,0.00000
0.01965,6.62845,0.00000
0.01871,5.58210,0.00000
0.01921,5.64711,0.00000
0.02055,5.59872,0.00000
0.01781,5.63904,0.00000
0.01775,6.44619,0.00000
0.01631,5.61472,0.00000
0.01955,5.60861,0.00000
0.01861,5.54653,0.00000
0.02900,6.54287,0.00000
0.02429,5.61297,0.00000
0.01834,5.53818,0.00000
0.02099,5.54678,0.00000
0.02072,5.59804,0.00000
